X_mm,Y_mm
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,-8.270231383943411618e-01
2.000000000000000000e+00,-1.293129043436233694e+00
3.000000000000000000e+00,-1.579126735912363300e+00
4.000000000000000000e+00,-1.773688435850878653e+00
5.000000000000000000e+00,-1.919726438236051713e+00
6.000000000000000000e+00,-2.039660619651474605e+00
7.000000000000000000e+00,-2.141401397086730718e+00
8.000000000000000000e+00,-2.229364395667391197e+00
9.000000000000000000e+00,-2.304270996884287825e+00
1.000000000000000000e+01,-2.367800951496178197e+00
1.100000000000000000e+01,-2.421220166488738723e+00
1.200000000000000000e+01,-2.466510873738185783e+00
1.300000000000000000e+01,-2.504778076969265577e+00
1.400000000000000000e+01,-2.537736809284454775e+00
1.500000000000000000e+01,-2.566418993863827769e+00
1.600000000000000000e+01,-2.590858044612964317e+00
1.700000000000000000e+01,-2.612369080973474311e+00
1.800000000000000000e+01,-2.630695290057306401e+00
1.900000000000000000e+01,-2.646432798482011073e+00
2.000000000000000000e+01,-2.659877282503619433e+00
2.100000000000000000e+01,-2.671432322110285806e+00
2.200000000000000000e+01,-2.681373407490891481e+00
2.300000000000000000e+01,-2.689379878063385299e+00
2.400000000000000000e+01,-2.695837324546777491e+00
2.500000000000000000e+01,-2.700869848616122226e+00
2.600000000000000000e+01,-2.705297250419663513e+00
2.700000000000000000e+01,-2.707711788262955999e+00
2.800000000000000000e+01,-2.709036974131408648e+00
2.900000000000000000e+01,-2.708802417554670772e+00
3.000000000000000000e+01,-2.708186242606576144e+00
3.100000000000000000e+01,-2.706093674032380214e+00
3.200000000000000000e+01,-2.703459689890336914e+00
3.300000000000000000e+01,-2.700000823339054890e+00
3.400000000000000000e+01,-2.695236683869282945e+00
3.500000000000000000e+01,-2.690562271123739801e+00
3.600000000000000000e+01,-2.685395857547677068e+00
3.700000000000000000e+01,-2.679321488498662251e+00
3.800000000000000000e+01,-2.673455232592258479e+00
3.900000000000000000e+01,-2.667833046331822278e+00
4.000000000000000000e+01,-2.662102474479187464e+00
4.100000000000000000e+01,-2.656818718943326552e+00
4.200000000000000000e+01,-2.651585959195073894e+00
4.300000000000000000e+01,-2.646697758567175374e+00
4.400000000000000000e+01,-2.642026516763668287e+00
4.500000000000000000e+01,-2.639099810939946167e+00
4.600000000000000000e+01,-2.638648095369456215e+00
4.700000000000000000e+01,-2.639632593393369309e+00
4.800000000000000000e+01,-2.640618067162576299e+00
4.900000000000000000e+01,-2.641106274757112793e+00
5.000000000000000000e+01,-2.641752626796029624e+00
5.100000000000000000e+01,-2.640658115631352665e+00
5.200000000000000000e+01,-2.639406272547216936e+00
5.300000000000000000e+01,-2.637022009902813213e+00
5.400000000000000000e+01,-2.633374161040948014e+00
5.500000000000000000e+01,-2.627583868519588250e+00
5.600000000000000000e+01,-2.621318084838521578e+00
5.700000000000000000e+01,-2.613679798033189616e+00
5.800000000000000000e+01,-2.604532592316953110e+00
5.900000000000000000e+01,-2.593948113816309853e+00
6.000000000000000000e+01,-2.580960000541523858e+00
6.100000000000000000e+01,-2.567177723140070977e+00
6.200000000000000000e+01,-2.551975348776839070e+00
6.300000000000000000e+01,-2.535169440451437772e+00
6.400000000000000000e+01,-2.516723893741075635e+00
6.500000000000000000e+01,-2.496666275488586884e+00
6.600000000000000000e+01,-2.475485888890884834e+00
6.700000000000000000e+01,-2.453034417730137307e+00
6.800000000000000000e+01,-2.429346506221452540e+00
6.900000000000000000e+01,-2.404432196014124834e+00
7.000000000000000000e+01,-2.378112128364149314e+00
7.100000000000000000e+01,-2.350742305581515978e+00
7.200000000000000000e+01,-2.321847546400030549e+00
7.300000000000000000e+01,-2.291957869892022437e+00
7.400000000000000000e+01,-2.261070202917831118e+00
7.500000000000000000e+01,-2.229283802957437555e+00
7.600000000000000000e+01,-2.195847628284111952e+00
7.700000000000000000e+01,-2.161890185597757696e+00
7.800000000000000000e+01,-2.127248203182093178e+00
7.900000000000000000e+01,-2.091648521841745989e+00
8.000000000000000000e+01,-2.055079639287757498e+00
8.100000000000000000e+01,-2.017555443019678929e+00
8.200000000000000000e+01,-1.979138145401216020e+00
8.300000000000000000e+01,-1.940488386749345873e+00
8.400000000000000000e+01,-1.900670778037790054e+00
8.500000000000000000e+01,-1.860602583627346540e+00
8.600000000000000000e+01,-1.819001760380032584e+00
8.700000000000000000e+01,-1.777290023699437116e+00
8.800000000000000000e+01,-1.735113528753230883e+00
8.900000000000000000e+01,-1.691884990451637760e+00
9.000000000000000000e+01,-1.647863098912832225e+00
9.100000000000000000e+01,-1.603533721557540259e+00
9.200000000000000000e+01,-1.558872132287372425e+00
9.300000000000000000e+01,-1.513043831800398920e+00
9.400000000000000000e+01,-1.466871601800585623e+00
9.500000000000000000e+01,-1.420352048895871189e+00
9.600000000000000000e+01,-1.372960532942207657e+00
9.700000000000000000e+01,-1.325338753931470492e+00
9.800000000000000000e+01,-1.277765959326384149e+00
9.900000000000000000e+01,-1.229869233175065357e+00
1.000000000000000000e+02,-1.181582340575029200e+00
1.010000000000000000e+02,-1.132948302532030382e+00
1.020000000000000000e+02,-1.084719011743143557e+00
1.030000000000000000e+02,-1.036046424352170536e+00
1.040000000000000000e+02,-9.870328155168637263e-01
1.050000000000000000e+02,-9.387560468931440694e-01
1.060000000000000000e+02,-8.900107486411604762e-01
1.070000000000000000e+02,-8.414691829540543733e-01
1.080000000000000000e+02,-7.932215553000387942e-01
1.090000000000000000e+02,-7.447945745720874200e-01
1.100000000000000000e+02,-6.968846172634755032e-01
1.110000000000000000e+02,-6.497153761952036977e-01
1.120000000000000000e+02,-6.022835519406922744e-01
1.130000000000000000e+02,-5.557294046555770750e-01
1.140000000000000000e+02,-5.095023506087090759e-01
1.150000000000000000e+02,-4.643054301437157250e-01
1.160000000000000000e+02,-4.193079694963815496e-01
1.170000000000000000e+02,-3.745969684021177026e-01
1.180000000000000000e+02,-3.315526245033583175e-01
1.190000000000000000e+02,-2.888939618469553716e-01
1.200000000000000000e+02,-2.470138685073466067e-01
1.210000000000000000e+02,-2.068575127402251246e-01
1.220000000000000000e+02,-1.677216606961336454e-01
1.230000000000000000e+02,-1.295793309236493995e-01
1.240000000000000000e+02,-9.306052366280702370e-02
1.250000000000000000e+02,-5.762734098291191071e-02
1.260000000000000000e+02,-2.399169132458075712e-02
1.270000000000000000e+02,8.031758510152158317e-03
1.280000000000000000e+02,3.874466198957573354e-02
1.290000000000000000e+02,6.735970841793502417e-02
1.300000000000000000e+02,9.470039878012748158e-02
1.310000000000000000e+02,1.202669615385527913e-01
1.320000000000000000e+02,1.435186407085020932e-01
1.330000000000000000e+02,1.646850578755850170e-01
1.340000000000000000e+02,1.836074858411659849e-01
1.350000000000000000e+02,2.001719294677227201e-01
1.360000000000000000e+02,2.143769227363118424e-01
1.370000000000000000e+02,2.261397382402436929e-01
1.380000000000000000e+02,2.348785132060830505e-01
1.390000000000000000e+02,2.402073855388245915e-01
1.400000000000000000e+02,2.422245719414683196e-01
1.410000000000000000e+02,2.410930254747716828e-01
1.420000000000000000e+02,2.354481630062270070e-01
1.430000000000000000e+02,2.263600245349463025e-01
1.440000000000000000e+02,2.127545341455013284e-01
1.450000000000000000e+02,1.943005421007509004e-01
1.460000000000000000e+02,1.706991565894177554e-01
1.470000000000000000e+02,1.414474500721678019e-01
1.480000000000000000e+02,1.052044641152611176e-01
1.490000000000000000e+02,5.979059350760297653e-02
1.500000000000000000e+02,0.000000000000000000e+00
